"city","region","country_code","latitude","longitude","order_count","total_revenue","aov"
Mosonmagyaróvár,Győr-Moson-Sopron,HU,47.8679,17.2699,25,763.87,30.55
Debrecen,Hajdú-Bihar,HU,47.5333,21.6333,202,7433.75,36.8
Hajdúszoboszló,Hajdú-Bihar,HU,47.45,21.4,21,842.75,40.13
Hajdúböszörmény,Hajdú-Bihar,HU,47.6667,21.5167,20,611.6,30.58
Eger,Heves,HU,47.9026,20.3733,47,1627.23,34.62
Hatvan,Heves,HU,47.6667,19.6833,23,448.13,19.48
Gyöngyös,Heves,HU,47.7826,19.928,27,700.75,25.95
Brno,Jihomoravský kraj,CZ,49.1988303,16.6414446,28,1280.31,45.73
Brno,Jihomoravský kraj,CZ,49.253331,16.5810001,31,1388.44,44.79
Boskovice,Jihomoravský kraj,CZ,49.490866,16.6867814,23,945.24,41.1
Brno,Jihomoravský kraj,CZ,49.2261998,16.595671,51,2478.63,48.6
Brno,Jihomoravský kraj,CZ,49.167968,16.5686844,43,1920.01,44.65
Blansko,Jihomoravský kraj,CZ,49.3623905,16.6535346,21,1219.0,58.05
Hodonín,Jihomoravský kraj,CZ,48.8563853,17.1234147,22,853.39,38.79
Brno,Jihomoravský kraj,CZ,49.2282687,16.6257279,18,824.16,45.79
Brno,Jihomoravský kraj,CZ,49.2326896,16.5114638,25,1047.04,41.88
Brno,Jihomoravský kraj,CZ,49.2130998,16.5763518,23,1084.21,47.14
Brno,Jihomoravský kraj,CZ,49.1989157,16.6022365,105,4313.59,41.08
Brno,Jihomoravský kraj,CZ,49.2062801,16.6906685,45,1809.06,40.2
Znojmo,Jihomoravský kraj,CZ,48.8516194,16.0493607,23,893.58,38.85
Vyškov,Jihomoravský kraj,CZ,49.2758841,17.0038801,24,984.25,41.01
Brno,Jihomoravský kraj,CZ,49.220059,16.6413187,18,828.56,46.03
Brno,Jihomoravský kraj,CZ,49.2119282,16.622841,21,850.38,40.49
Jindřichův Hradec,Jihočeský kraj,CZ,49.1439642,15.0086014,27,869.15,32.19
Strakonice,Jihočeský kraj,CZ,49.2675021,13.9144777,25,806.29,32.25
České Budějovice,Jihočeský kraj,CZ,48.9830324,14.4427589,27,892.68,33.06
Český Krumlov,Jihočeský kraj,CZ,48.8076518,14.312733,18,691.93,38.44
Litvínovice,Jihočeský kraj,CZ,48.9610107,14.4552142,42,1856.22,44.2
Písek,Jihočeský kraj,CZ,49.3204117,14.1431104,38,1269.05,33.4
Jászberény,Jász-Nagykun-Szolnok,HU,47.5,19.9167,23,521.72,22.68
Szolnok,Jász-Nagykun-Szolnok,HU,47.1833,20.2,79,2579.58,32.65
Aš,Karlovarský kraj,CZ,50.2238337,12.1982032,21,955.64,45.51
Ostrov,Karlovarský kraj,CZ,50.316006,12.9475941,20,787.17,39.36
Cheb,Karlovarský kraj,CZ,50.0738437,12.3876339,39,1627.04,41.72
Mariánské Lázně,Karlovarský kraj,CZ,49.9610788,12.6873838,20,980.01,49.0
Sokolov,Karlovarský kraj,CZ,50.1751428,12.6516621,35,1165.9,33.31
Karlovy Vary,Karlovarský kraj,CZ,50.2215649,12.8764767,23,854.25,37.14
Esztergom,Komárom-Esztergom,HU,47.7928,18.7415,27,670.76,24.84
Tata,Komárom-Esztergom,HU,47.6529,18.3184,34,1153.05,33.91
Tatabánya,Komárom-Esztergom,HU,47.5849,18.3933,81,2047.32,25.28
Komárom,Komárom-Esztergom,HU,47.7432,18.1191,24,885.82,36.91
Oroszlány,Komárom-Esztergom,HU,47.4867,18.3122,20,549.11,27.46
Žďár nad Sázavou,Kraj Vysočina,CZ,49.5673973,15.946809,27,1279.2,47.38
Třebíč,Kraj Vysočina,CZ,49.2153697,15.8807932,46,2025.74,44.04
Pelhřimov,Kraj Vysočina,CZ,49.4192216,15.2317242,22,1116.48,50.75
Nové Město na Moravě,Kraj Vysočina,CZ,49.5661084,16.0754047,22,817.36,37.15
Jihlava,Kraj Vysočina,CZ,49.4023756,15.585247,51,2068.42,40.56
Velké Meziříčí,Kraj Vysočina,CZ,49.3532815,16.0128897,21,881.48,41.98
Chotěboř,Kraj Vysočina,CZ,49.7264,15.672159,20,880.64,44.03
Havlíčkův Brod,Kraj Vysočina,CZ,49.6081394,15.5697132,24,802.03,33.42
Hradec Králové,Královéhradecký kraj,CZ,50.2023839,15.8160013,29,991.5,34.19
Rychnov nad Kněžnou,Královéhradecký kraj,CZ,50.1735239,16.2968218,22,923.91,42.0
Trutnov,Královéhradecký kraj,CZ,50.5696038,15.9093889,25,890.86,35.63
Holín,Královéhradecký kraj,CZ,50.437471,15.3324407,37,1455.76,39.34
Dvůr Králové nad Labem,Královéhradecký kraj,CZ,50.4315745,15.8095162,22,716.33,32.56
Hradec Králové,Královéhradecký kraj,CZ,50.2247765,15.8643297,39,1861.58,47.73
Liberec,Liberecký kraj,CZ,50.7793724,15.0403623,23,917.07,39.87
Česká Lípa,Liberecký kraj,CZ,50.6807304,14.5344667,24,1326.31,55.26
Jablonec nad Nisou,Liberecký kraj,CZ,50.7235231,15.1699694,18,487.44,27.08
Český Těšín,Moravskoslezský kraj,CZ,49.7387982,18.6104286,26,1311.2,50.43
Havířov,Moravskoslezský kraj,CZ,49.7813056,18.435039,77,2769.57,35.97
Nový Jičín,Moravskoslezský kraj,CZ,49.5831783,17.9894095,33,1772.72,53.72
Opava,Moravskoslezský kraj,CZ,49.9390084,17.886269,35,1411.5,40.33
Krnov,Moravskoslezský kraj,CZ,50.0919932,17.6709071,20,796.5,39.82
Ostrava,Moravskoslezský kraj,CZ,49.8408567,18.2784513,43,2073.47,48.22
Frýdek-Místek,Moravskoslezský kraj,CZ,49.6794647,18.3564731,71,2461.64,34.67
Orlová,Moravskoslezský kraj,CZ,49.864994,18.4221993,18,570.26,31.68
Třinec,Moravskoslezský kraj,CZ,49.6710187,18.6547826,46,1881.42,40.9
Karviná,Moravskoslezský kraj,CZ,49.8509664,18.5629235,31,1234.07,39.81
Kopřivnice,Moravskoslezský kraj,CZ,49.6029945,18.1486686,27,963.52,35.69
Ostrava,Moravskoslezský kraj,CZ,49.7910979,18.243628,106,4113.03,38.8
Ostrava,Moravskoslezský kraj,CZ,49.8325802,18.1698367,67,2904.57,43.35
Salgótarján,Nógrád,HU,48.0987,19.803,26,693.67,26.68
Olomouc,Olomoucký kraj,CZ,49.5945884,17.2745635,173,7081.84,40.94
Zábřeh,Olomoucký kraj,CZ,49.8772312,16.8626463,23,943.65,41.03
Mohelnice,Olomoucký kraj,CZ,49.7728355,16.9023022,18,802.62,44.59
Prostějov,Olomoucký kraj,CZ,49.4704359,17.1102825,39,1671.98,42.87
Šumperk,Olomoucký kraj,CZ,49.9725289,16.9710014,24,724.19,30.17
Přerov,Olomoucký kraj,CZ,49.4445645,17.4536238,43,1296.44,30.15
Chrudim,Pardubický kraj,CZ,49.948564,15.787572,27,1127.05,41.74
Holice,Pardubický kraj,CZ,50.0731626,15.9926438,24,744.29,31.01
Pardubice,Pardubický kraj,CZ,50.0506762,15.7622527,26,911.24,35.05
Svitavy,Pardubický kraj,CZ,49.7571599,16.4706686,26,965.91,37.15
Lanškroun,Pardubický kraj,CZ,49.9146466,16.6266987,21,895.26,42.63
Pardubice,Pardubický kraj,CZ,50.018746,15.7826539,51,1931.79,37.88
Česká Třebová,Pardubický kraj,CZ,49.903304,16.4413909,20,794.44,39.72
Vysoké Mýto,Pardubický kraj,CZ,49.9468164,16.1623014,20,735.76,36.79
Százhalombatta,Pest,HU,47.3295,18.9388,25,602.48,24.1
Szigetszentmiklós,Pest,HU,47.3438,19.0434,54,1918.56,35.53
